num_clusters,WCSS,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,6.0000000000000036,-4.3929539281905504e-16,0.4982044529566675,0.0,-4.3929539281905504e-16,1.0,-8.785907856381105e-16,./ICA/Abalone,KM
2,5.0000002227221625,0.02719643367834192,0.4982044529566675,0.23055636828323053,0.027426967895849027,0.04222127011648851,0.03325285615414337,./ICA/Abalone,KM
3,4.000039482686123,0.125689363260613,0.6598036868565956,0.3367543375016348,0.13671021372951905,0.12607155755033844,0.13117553393431466,./ICA/Abalone,KM
4,3.553023225996247,0.1313750646790651,0.6691405314819249,0.3354687798926295,0.1689870499684606,0.13185724383352854,0.1481308910387095,./ICA/Abalone,KM
5,3.156196339143159,0.13350959173620391,0.6722528130237012,0.35253742831491025,0.1970803941566182,0.1340689041474387,0.15957969779094883,./ICA/Abalone,KM
6,2.657325919921783,0.13422619776381814,0.6724922192961456,0.35134794282351617,0.1990820454875044,0.13492345118876972,0.16084068624132783,./ICA/Abalone,KM
7,2.3034122407554576,0.12863969185562713,0.6715345942063682,0.36228459006589575,0.2074515498545018,0.12941490584997886,0.15939445639790634,./ICA/Abalone,KM
8,2.119023060067712,0.11300392499277769,0.6700981565717021,0.3324751731218379,0.204672350135121,0.11382449356303266,0.14629172666191104,./ICA/Abalone,KM
9,1.9776039380948007,0.10396015287338947,0.6641129997605937,0.3022862110475576,0.20190090730973284,0.10484489325391608,0.13801837896956234,./ICA/Abalone,KM
10,1.8499527687689228,0.109443327367513,0.6662676562125928,0.30682557133294375,0.22343904788755767,0.11038469997926907,0.1477681107011055,./ICA/Abalone,KM
11,1.7313496915475224,0.11398871553853138,0.6645918123054824,0.2712444230830531,0.248471060686108,0.11496332412290773,0.1571951377128535,./ICA/Abalone,KM
12,1.6303918118189036,0.11352758276110009,0.6645918123054824,0.2690145385550846,0.2581893717079867,0.11455655867056337,0.1586994437639817,./ICA/Abalone,KM
13,1.5449024859481881,0.10894655372822679,0.6727316255685899,0.2709237629688302,0.2538925320976198,0.11004940498380122,0.15354494352170697,./ICA/Abalone,KM
14,1.476534262027339,0.10487377728184732,0.6657888436677041,0.26207335234639967,0.2552061868024928,0.10602418112570883,0.1498103668810428,./ICA/Abalone,KM
15,1.4219267437839984,0.10342294846688956,0.6732104381134786,0.25698710389215623,0.2588382169150552,0.10463066310125302,0.14902191500165324,./ICA/Abalone,KM
16,1.3774721765340698,0.1024043006424828,0.6732104381134786,0.2556664892445384,0.26258692269009815,0.10367006303438207,0.14865192413157224,./ICA/Abalone,KM
17,1.333208263265351,0.1008681963046914,0.6729710318410342,0.2565025060151569,0.26381629794523265,0.1021954629974689,0.1473221988569483,./ICA/Abalone,KM
18,1.2895713699317517,0.10051913652786418,0.6904476897294709,0.23178846241106482,0.27205768406836933,0.10188347932403087,0.14824890193025891,./ICA/Abalone,KM
19,1.2573324266240713,0.09975614125490748,0.6861383768254729,0.24281775445019493,0.271727816693926,0.10119374015481349,0.14746883665141966,./ICA/Abalone,KM
20,1.2090015044124107,0.10026418676839001,0.6906870960019152,0.23338998769842428,0.2760080777858466,0.10176762371086179,0.14870562659262535,./ICA/Abalone,KM
21,1.1644349606340787,0.0991607025331288,0.6899688771845822,0.23506834779062902,0.27890036327742057,0.1007125741185259,0.14798638687576485,./ICA/Abalone,KM
22,1.1404392236191456,0.10079588757637674,0.6854201580081398,0.23980113064214117,0.287219291560516,0.10240293827966548,0.150977521988236,./ICA/Abalone,KM
23,1.1039037386691901,0.0959211789102834,0.6875748144601389,0.24227749425017298,0.2784105939045988,0.09758559833728542,0.14451669963796393,./ICA/Abalone,KM
24,1.0734612092997076,0.09751306579842267,0.691884127364137,0.2333305761577724,0.2911405025229342,0.09920063796095298,0.14797991085820328,./ICA/Abalone,KM
25,1.0470246457780024,0.09986893879827471,0.6981086904476898,0.23268880669039735,0.29797770518800454,0.10162945904698088,0.15156541572167517,./ICA/Abalone,KM
26,1.020204675856522,0.0972882816121909,0.7014603782619104,0.23257335409944613,0.2984586917712092,0.09907762934601552,0.14876919701475452,./ICA/Abalone,KM
27,1.0043701158653562,0.09195889600257896,0.6815896576490305,0.23880195859185,0.28094436017193664,0.09384850702680574,0.1406974948952599,./ICA/Abalone,KM
28,0.977596024437113,0.0923430195332026,0.6796744074694757,0.2289344397908216,0.28894888045880607,0.09425439809339176,0.14214232670608226,./ICA/Abalone,KM
29,0.9551306788466248,0.09168754150874177,0.6880536270050275,0.2286935489134405,0.29217999409842216,0.09363555120358309,0.14182131918323831,./ICA/Abalone,KM
35,0.8560816563249943,0.0898793149636417,0.6928417524539143,0.22560309845159215,0.30352039586570245,0.09213084985212128,0.14135475280926033,./ICA/Abalone,KM
40,0.7968182422419136,0.08696539115337729,0.7014603782619104,0.21788262471784692,0.30825346787228003,0.08944566797821146,0.1386572655305012,./ICA/Abalone,KM
50,0.6981662628295403,0.08294177471613187,0.7016997845343548,0.20838474013292071,0.3121105270015019,0.0859477882441471,0.13478029954952664,./ICA/Abalone,KM
