num_clusters,WCSS,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,11.999999999999993,-3.87748305364491e-15,0.5545602605863192,0.0,-1.292494351211832e-15,1.0,-2.5849887024236675e-15,./ICA/Phishing,KM
2,11.081472122128377,0.001447706237813332,0.5545602605863192,0.17312664933500665,0.0017440639949271048,0.0033009098222599458,0.0022822707035235943,./ICA/Phishing,KM
3,10.167608661075565,0.026177896962920794,0.6245928338762216,0.10179632902317635,0.03953621966320165,0.026566009237922683,0.03177864330040135,./ICA/Phishing,KM
4,9.494649589136506,0.019870971359982486,0.6229641693811075,0.11054550389669834,0.03688139114524833,0.020352374392214562,0.026230106429131355,./ICA/Phishing,KM
5,8.94224150486779,0.013602133092892757,0.6140065146579805,0.11247014725158161,0.030538857079971955,0.014144392002158503,0.01933402671963539,./ICA/Phishing,KM
6,8.441966902470176,0.0849337572892788,0.7312703583061889,0.11952842016250771,0.2151484968954296,0.08547313740013703,0.12234260571210796,./ICA/Phishing,KM
7,8.192311575615788,0.10092363463091436,0.758957654723127,0.12887454418000088,0.26671919642563974,0.10153348110367191,0.14707797196186687,./ICA/Phishing,KM
8,7.773066699698762,0.10689345329251296,0.762214983713355,0.11661117283365172,0.3237947618154913,0.10750958815689499,0.16142216739697668,./ICA/Phishing,KM
9,7.513653176057023,0.10539666944720852,0.7764657980456026,0.11830613704355954,0.33731319005744503,0.10606478521109988,0.16138397957473818,./ICA/Phishing,KM
10,7.268400381757454,0.11903833079876644,0.8053745928338762,0.12880439891767873,0.3935670591495233,0.1197549213029874,0.18363364122592707,./ICA/Phishing,KM
11,7.159315921706046,0.10986541647956036,0.7890879478827362,0.11955284518461326,0.37956201771621373,0.11063622608849945,0.17133194472800883,./ICA/Phishing,KM
12,7.053460614333812,0.12738492554369107,0.8363192182410424,0.12069507501213862,0.4553380800503687,0.12818784530490762,0.20005557535903074,./ICA/Phishing,KM
13,6.823102544399676,0.12086420727326776,0.8159609120521173,0.12155137335711641,0.4475033433030113,0.12171700928625362,0.19138025667801606,./ICA/Phishing,KM
14,6.719355582177479,0.11308246708974012,0.8114820846905537,0.11734338463513286,0.4319021943014952,0.11398701041139896,0.18037081332078492,./ICA/Phishing,KM
15,6.585078451697204,0.10994563690712542,0.8269543973941368,0.12319352870883835,0.42871319813852843,0.1109041665606528,0.17622146003255793,./ICA/Phishing,KM
16,6.479004358658726,0.11134980380585527,0.8171824104234527,0.12739396981724102,0.44414480500681186,0.11235283088055101,0.1793392206737272,./ICA/Phishing,KM
17,6.394247697626906,0.12852907403167319,0.8334690553745928,0.1357038058598994,0.519075033354471,0.12956475289791985,0.20736880424995252,./ICA/Phishing,KM
18,6.231589481435568,0.11353674819907089,0.8493485342019544,0.13230340248104114,0.4771149920956639,0.11461385496475167,0.1848278608596475,./ICA/Phishing,KM
19,6.159229634989957,0.11704439571625291,0.8538273615635179,0.1286142820856713,0.5016362149535689,0.11815835908782572,0.1912650239302768,./ICA/Phishing,KM
20,6.0890020283032396,0.1035101113961898,0.8110749185667753,0.13884589762502628,0.44510419641142723,0.10470322901840758,0.1695278908882885,./ICA/Phishing,KM
21,5.950047926296589,0.11690063043976036,0.8578990228013029,0.140517406163811,0.5142683449301547,0.11810860907674021,0.19209909066748052,./ICA/Phishing,KM
22,5.845018767795745,0.11112951410846005,0.8440553745928339,0.13750939266472362,0.5010160829985609,0.11237621230405978,0.18357677506535242,./ICA/Phishing,KM
23,5.778934051480945,0.12182884740776626,0.8786644951140065,0.13713059862085714,0.5547061415156253,0.12310613778601945,0.201494522225331,./ICA/Phishing,KM
24,5.68780589315085,0.1278164208741037,0.8908794788273615,0.1420760989807208,0.5872463207735543,0.12913091755975897,0.21170872601007723,./ICA/Phishing,KM
25,5.656682543511248,0.125755845557928,0.8786644951140065,0.13922556380493664,0.5876699307642126,0.12710842185252116,0.20900968026286218,./ICA/Phishing,KM
26,5.5570124504711,0.11670354397166498,0.8697068403908795,0.1398124164043756,0.5561373509830158,0.11810110791000027,0.194828510402871,./ICA/Phishing,KM
27,5.5460360196331475,0.11587461083327734,0.8672638436482085,0.14352697786419435,0.5503545827182235,0.11733653633319381,0.19343285734577415,./ICA/Phishing,KM
28,5.410077705550668,0.11695440081400828,0.870114006514658,0.14247627308308464,0.5684948638182098,0.11843559334592561,0.19603156566497387,./ICA/Phishing,KM
29,5.338220111268014,0.11516678032886227,0.8721498371335505,0.14813763560716636,0.5636172589876877,0.11669723643616764,0.19335932711712317,./ICA/Phishing,KM
35,5.016737680821782,0.09624610201033443,0.8338762214983714,0.14172358643924066,0.5013772729853816,0.09804098703480116,0.16401076176307566,./ICA/Phishing,KM
40,4.731257231158899,0.1060920000188736,0.8721498371335505,0.15671103684948504,0.5717632687795536,0.10806305831603605,0.18177138776328844,./ICA/Phishing,KM
50,4.357875534028037,0.09907560352421196,0.8688925081433225,0.16299167184955415,0.5683221374218139,0.10143921191935322,0.17215131865432556,./ICA/Phishing,KM
