,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4308000087738037,0.0007999897003173828,0.7151065357912377,0.7187568747101468,0.1,"(5,)",9,"{'NN__hidden_layer_sizes': (5,), 'ica__n_components': 9, 'NN__alpha': 0.1}",10,0.7311827956989247,0.7119760479041917,0.7009569377990431,0.7237354085603113,0.7089820359281437,0.720526630760024,0.7221556886227545,0.7172351885098743,0.7122302158273381,0.7203110978163326,0.1327379346370055,0.0003999948608169695,0.010532935906088123,0.0039655664488587655
1,0.7079998970031738,0.0008000373840332031,0.7155853483361264,0.7197147792925567,0.1,"(5,)",10,"{'NN__hidden_layer_sizes': (5,), 'ica__n_components': 10, 'NN__alpha': 0.1}",9,0.7323775388291517,0.7137724550898203,0.7033492822966507,0.7261299012271775,0.7113772455089821,0.7214242968282466,0.718562874251497,0.7175344105326152,0.7122302158273381,0.7197128327849237,0.28784645762368904,0.000400018706226792,0.009696862168187733,0.00410223032726176
2,0.41399993896484377,0.0010001659393310547,0.7151065357912377,0.718517425357692,0.1,"(10,)",9,"{'NN__hidden_layer_sizes': (10,), 'ica__n_components': 9, 'NN__alpha': 0.1}",10,0.7323775388291517,0.7107784431137725,0.7009569377990431,0.7237354085603113,0.7089820359281437,0.7208258527827648,0.7209580838323353,0.718132854578097,0.7122302158273381,0.7191145677535148,0.13755724921251405,0.0,0.010762795826919483,0.00431167034400252
3,0.7351999282836914,0.0006000518798828125,0.7170217859707925,0.7197148150524872,0.1,"(10,)",10,"{'NN__hidden_layer_sizes': (10,), 'ica__n_components': 10, 'NN__alpha': 0.1}",7,0.7323775388291517,0.7131736526946107,0.7033492822966507,0.726728524393894,0.7113772455089821,0.7217235188509874,0.7221556886227545,0.7184320766008379,0.7158273381294964,0.7185163027221059,0.13763055441925237,0.0004899403160383116,0.00982788493639106,0.004451868470863937
4,0.6926000118255615,0.0009999752044677734,0.7136700981565717,0.7188166652925468,0.1,"(20,)",9,"{'NN__hidden_layer_sizes': (20,), 'ica__n_components': 9, 'NN__alpha': 0.1}",12,0.7311827956989247,0.7104790419161676,0.6985645933014354,0.7249326548937444,0.7101796407185629,0.720526630760024,0.7173652694610778,0.7187312986235787,0.7110311750599521,0.7194137002692192,0.25420497699283995,9.536743164062499e-08,0.01066207847360402,0.004694869806497445
5,0.9590000152587891,0.0012000083923339843,0.7163035671534594,0.7196546303389771,0.1,"(20,)",10,"{'NN__hidden_layer_sizes': (20,), 'ica__n_components': 10, 'NN__alpha': 0.1}",8,0.7323775388291517,0.7116766467065868,0.7033492822966507,0.7261299012271775,0.7125748502994012,0.7229204069419509,0.7221556886227545,0.7169359664871334,0.7110311750599521,0.7206102303320371,0.24223307078826808,0.00039992333879854,0.010026769863791158,0.0049909309195950895
6,1.58919997215271,0.0008000850677490235,0.7239645678716783,0.7292928760956935,0.001,"(5,)",9,"{'NN__hidden_layer_sizes': (5,), 'ica__n_components': 9, 'NN__alpha': 0.001}",4,0.7287933094384708,0.7347305389221557,0.7177033492822966,0.7342113139778509,0.7089820359281437,0.7271095152603232,0.7413173652694611,0.7307001795332136,0.7230215827338129,0.7197128327849237,0.9346289146562023,0.00040004254453151946,0.010851952145431349,0.005518768079088656
7,1.1094000339508057,0.0009999752044677734,0.7234857553267896,0.7277348254299414,0.001,"(5,)",10,"{'NN__hidden_layer_sizes': (5,), 'ica__n_components': 10, 'NN__alpha': 0.001}",5,0.7347670250896058,0.7221556886227545,0.7057416267942583,0.7249326548937444,0.7101796407185629,0.7408737283064033,0.7461077844311377,0.7304009575104727,0.7206235011990407,0.7203110978163326,0.6028272437423898,9.536743164062499e-08,0.015094693590698656,0.007400401177993438
8,2.5168000221252442,0.0006000041961669922,0.7222887239645679,0.7338994629082993,0.001,"(10,)",9,"{'NN__hidden_layer_sizes': (10,), 'ica__n_components': 9, 'NN__alpha': 0.001}",6,0.7299880525686977,0.7353293413173653,0.6985645933014354,0.7261299012271775,0.7101796407185629,0.7390783961699581,0.7425149700598802,0.732196289646918,0.7302158273381295,0.7367633861800778,1.01194783523173,0.0004899013824479931,0.01575328732117338,0.004479617090223312
9,3.440399980545044,0.0009999752044677734,0.7301891309552311,0.7366525921864563,0.001,"(10,)",10,"{'NN__hidden_layer_sizes': (10,), 'ica__n_components': 10, 'NN__alpha': 0.001}",1,0.7323775388291517,0.7338323353293413,0.7296650717703349,0.737503741394792,0.7113772455089821,0.7390783961699581,0.7413173652694611,0.7324955116696589,0.7362110311750599,0.7403529763685313,0.0876324830095223,9.536743164062499e-08,0.010185985860850252,0.0030178465898522714
10,4.76899995803833,0.0010000705718994141,0.7265980368685659,0.7361743561551793,0.001,"(20,)",9,"{'NN__hidden_layer_sizes': (20,), 'ica__n_components': 9, 'NN__alpha': 0.001}",3,0.7275985663082437,0.7338323353293413,0.7165071770334929,0.7392996108949417,0.7149700598802395,0.7414721723518851,0.7413173652694611,0.7327947336923998,0.7326139088729017,0.7334729285073287,0.2575755700353328,1.1680077279964342e-07,0.009906882718195007,0.003522462051424825
11,4.98479995727539,0.0010000228881835937,0.7285132870481207,0.7361138670212901,0.001,"(20,)",10,"{'NN__hidden_layer_sizes': (20,), 'ica__n_components': 10, 'NN__alpha': 0.001}",2,0.7335722819593787,0.7320359281437125,0.7188995215311005,0.7369051182280755,0.7101796407185629,0.7426690604428486,0.7532934131736527,0.7307001795332136,0.7266187050359713,0.7382590487586,0.1987263342145252,1.1680077279964343e-07,0.014638572493011263,0.004339033110272053
