num_clusters,LL,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,-7.064217425243114,-4.3929539281905504e-16,0.4982044529566675,0.0,-4.3929539281905504e-16,1.0,-8.785907856381105e-16,./PCA/Abalone,GMM
2,1.9929238116359884,0.13473470300697066,0.6598036868565956,0.3562936113803051,0.13493976425550913,0.21727483508606238,0.16648381458336325,./PCA/Abalone,GMM
3,1.6075961577747135,0.16303989736544458,0.6705769691165908,0.31607172985764526,0.1715637306654725,0.16341782764109175,0.1673917352888705,./PCA/Abalone,GMM
4,6.9825355982094495,0.12944100478165999,0.6677040938472588,0.34443850848737084,0.1497953290237648,0.12998019013962117,0.13918605463950934,./PCA/Abalone,GMM
5,7.313831506776287,0.12747789850325117,0.6662676562125928,0.3393118099274204,0.15296947027861635,0.12818078719794204,0.1394823344182787,./PCA/Abalone,GMM
6,7.411840304115242,0.12101787502394706,0.6691405314819249,0.30241825352667934,0.16103075761813035,0.12181174393999424,0.13870219154041788,./PCA/Abalone,GMM
7,7.673469700905972,0.11192725544305251,0.6633947809432608,0.2927732521060719,0.182387114655192,0.11272919603968327,0.1393372853887087,./PCA/Abalone,GMM
8,8.061809496419036,0.11615542001837359,0.6739286569308116,0.36008882967138905,0.2059496260186311,0.11699562882990762,0.1492216135185804,./PCA/Abalone,GMM
9,8.139987145247499,0.11878020149085798,0.6806320325592531,0.3321599056359283,0.22374611152004228,0.1196849881668018,0.15595006237968848,./PCA/Abalone,GMM
10,8.300804387617008,0.11212937435671505,0.6882930332774718,0.3100446777608046,0.22998318703402645,0.11307358257331025,0.15160769408124744,./PCA/Abalone,GMM
11,8.331622147016452,0.10944942350523108,0.6878142207325832,0.27989775345660445,0.23660167793843997,0.1104476751977746,0.15059590251382265,./PCA/Abalone,GMM
12,8.370038270713312,0.10762284746759827,0.6885324395499162,0.265022782604214,0.23612700022438377,0.10871763750281893,0.14888542147104733,./PCA/Abalone,GMM
13,8.393399347685722,0.10766182507996017,0.6902082834570266,0.2557053705371873,0.2372345520144157,0.10886651953479243,0.149244842702159,./PCA/Abalone,GMM
14,8.518364480333219,0.10623429554438013,0.6787167823796983,0.24632239228687597,0.25260108768883077,0.10741384620516994,0.15073182709834726,./PCA/Abalone,GMM
15,8.534076000274993,0.10090347199244155,0.6801532200143644,0.22422341581472338,0.24715531524682083,0.10214440181663902,0.1445493975427573,./PCA/Abalone,GMM
16,8.523477443154055,0.10355804800840487,0.696911659085468,0.21466088416127344,0.25517856712362336,0.10488252828715738,0.1486623999412427,./PCA/Abalone,GMM
17,8.545691482531234,0.09973829720640208,0.6997845343548001,0.20735799761176568,0.2488908888768858,0.10114841272983333,0.143840524405452,./PCA/Abalone,GMM
18,8.56369363017359,0.10077023044570656,0.7002633468996887,0.20876263307434245,0.2568938166720916,0.10223648610738369,0.1462640212535698,./PCA/Abalone,GMM
19,8.577298903399658,0.0996968762597342,0.7009815657170217,0.19455603564336202,0.2575780482239151,0.10122776351393134,0.145337945479216,./PCA/Abalone,GMM
20,8.629470637814796,0.098047667901843,0.6973904716303567,0.18102193294691768,0.26140440408474885,0.0996175976004757,0.14425978813231097,./PCA/Abalone,GMM
21,8.632810627247757,0.09891274682255648,0.696911659085468,0.1845477375688663,0.27144147851377287,0.10051060065644521,0.14670032822162207,./PCA/Abalone,GMM
22,8.649152434744913,0.09783771650564005,0.6966722528130237,0.16373340425986224,0.2712890295389287,0.09950356525803554,0.1456028304410837,./PCA/Abalone,GMM
23,8.681960698190354,0.10148911167642134,0.6983480967201341,0.16934323364991644,0.28504647775980446,0.10320511301540311,0.1515422197915783,./PCA/Abalone,GMM
24,8.713119453363227,0.09985969660130031,0.7002633468996887,0.16061699989995176,0.2856238328638659,0.10163092850435189,0.14991792604107085,./PCA/Abalone,GMM
25,8.690993220275836,0.09364134031757597,0.6988269092650228,0.1673837513339192,0.27629883482584405,0.09544343489129267,0.14187738118835086,./PCA/Abalone,GMM
26,8.728430033359333,0.09837520869302535,0.7005027531721331,0.1583270845325236,0.2865795466378974,0.10028202288833017,0.1485739547118316,./PCA/Abalone,GMM
27,8.733013912122178,0.09968178110677867,0.7000239406272444,0.14771340080927317,0.2953084950125778,0.10162610625219048,0.1512140911661382,./PCA/Abalone,GMM
28,8.740007026509272,0.09646852359319384,0.7007421594445774,0.15618490168587335,0.29387612882414355,0.09844172844904082,0.14748079158281574,./PCA/Abalone,GMM
29,8.733196122551554,0.0942353477815769,0.6990663155374671,0.11923137861929226,0.2912364240500682,0.09625942709225159,0.14469445928162553,./PCA/Abalone,GMM
35,8.810414828493522,0.09188329932578435,0.7024180033516878,0.1329642923976914,0.2958557302346729,0.09426711420750271,0.1429778661172959,./PCA/Abalone,GMM
40,8.865538250175844,0.09097289133796661,0.7062485037107972,0.12733400920705948,0.30008340735123823,0.09367755901363473,0.14278246704174063,./PCA/Abalone,GMM
50,8.905709929671156,0.088781062938067,0.7100790040699066,0.08130716283379287,0.3169990397692356,0.09194505268458479,0.14254512511798417,./PCA/Abalone,GMM
