,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
81,5.459600019,0.000600052,0.702178597,0.734977074,0.001,"(10, 10)",5,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 5, 'NN__alpha': 0.001}",76,0.714456392,0.738323353,0.671052632,0.730918887,0.692215569,0.728605625,0.71257485,0.736385398,0.720623501,0.740652109,0.054540213,0.00048994,0.018261673,0.004526615
72,5.142000008,0.000800037,0.701220972,0.752095745,0.001,"(20,)",6,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 6, 'NN__alpha': 0.001}",77,0.716845878,0.755389222,0.671052632,0.756360371,0.705389222,0.756433273,0.722155689,0.745062837,0.690647482,0.747233024,0.105419118,0.000400019,0.018560267,0.004918456
51,5.558599997,0.001000023,0.700981566,0.730785529,0.1,"(10, 10)",5,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 5, 'NN__alpha': 0.1}",78,0.694145759,0.723053892,0.692583732,0.719245735,0.700598802,0.740574506,0.695808383,0.731897068,0.721822542,0.739156446,0.944521995,0.000632485,0.010750868,0.008486188
85,8.463800049,0.001399946,0.69810869,0.743476234,0.001,"(20, 20)",4,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 4, 'NN__alpha': 0.001}",79,0.714456392,0.741916168,0.675837321,0.752768632,0.68502994,0.737881508,0.728143713,0.736086176,0.68705036,0.748728687,0.119251648,0.000489824,0.019793198,0.006360576
56,8.809199953,0.001200104,0.697390472,0.751256526,0.1,"(20, 20)",5,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 5, 'NN__alpha': 0.1}",80,0.704898447,0.745209581,0.675837321,0.758156241,0.688622754,0.762118492,0.711377246,0.738779174,0.706235012,0.752019144,0.114923213,0.000399995,0.013204671,0.008466638
84,5.305999994,0.000999975,0.691644721,0.76442398,0.001,"(10, 10)",8,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 8, 'NN__alpha': 0.001}",81,0.72520908,0.761377246,0.669856459,0.767734211,0.658682635,0.76481149,0.713772455,0.762417714,0.690647482,0.76577924,0.040992696,9.54E-08,0.025219703,0.002291385
74,4.756199932,0.000600004,0.691405315,0.760893572,0.001,"(20,)",8,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 8, 'NN__alpha': 0.001}",82,0.698924731,0.761077844,0.685406699,0.767135588,0.676646707,0.759425494,0.702994012,0.759126272,0.693045564,0.757702662,0.274773684,0.000489901,0.009458233,0.003300219
83,5.3704,0.00079999,0.689250658,0.762089637,0.001,"(10, 10)",7,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 7, 'NN__alpha': 0.001}",83,0.682198327,0.761077844,0.673444976,0.765938342,0.683832335,0.753441053,0.711377246,0.759724716,0.695443645,0.770266228,0.037366361,0.000399995,0.013090562,0.005711108
57,9.275600004,0.001200008,0.685180752,0.792134933,0.1,"(20, 20)",6,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 6, 'NN__alpha': 0.1}",84,0.688172043,0.786526946,0.673444976,0.798563304,0.68742515,0.798324357,0.700598802,0.780371035,0.676258993,0.796889022,0.137530534,0.000400043,0.009683946,0.007376626
58,8.900399971,0.000999975,0.67823797,0.816255992,0.1,"(20, 20)",7,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 7, 'NN__alpha': 0.1}",85,0.684587814,0.820658683,0.673444976,0.816821311,0.680239521,0.81208857,0.680239521,0.811190904,0.672661871,0.820520491,0.215596489,9.54E-08,0.004526287,0.004022729
86,8.474199963,0.001400089,0.675604501,0.771546002,0.001,"(20, 20)",5,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 5, 'NN__alpha': 0.001}",86,0.663082437,0.761377246,0.650717703,0.783597725,0.669461078,0.784260922,0.713772455,0.755834829,0.681055156,0.772659288,0.065236221,0.000489804,0.021449375,0.011475166
87,8.536799955,0.001200008,0.668661719,0.817990619,0.001,"(20, 20)",6,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 6, 'NN__alpha': 0.001}",87,0.681003584,0.810179641,0.651913876,0.822807543,0.671856287,0.820167564,0.674251497,0.816876122,0.664268585,0.819922226,0.07717359,0.000399923,0.009939853,0.0043342
59,8.676200056,0.001200008,0.666985875,0.823020488,0.1,"(20, 20)",8,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 8, 'NN__alpha': 0.1}",88,0.673835125,0.832634731,0.651913876,0.830589644,0.649101796,0.807301017,0.679041916,0.82106523,0.681055156,0.823511816,0.177613542,0.000399923,0.013688747,0.008954239
88,8.782200003,0.001600027,0.658606655,0.844026431,0.001,"(20, 20)",7,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 7, 'NN__alpha': 0.001}",89,0.64874552,0.848203593,0.639952153,0.840466926,0.668263473,0.834530221,0.677844311,0.84171155,0.658273381,0.855219862,0.15226353,0.000489785,0.013482575,0.007084467
89,8.549200058,0.001399946,0.655973186,0.844087331,0.001,"(20, 20)",8,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 8, 'NN__alpha': 0.001}",90,0.646356033,0.84011976,0.662679426,0.859024244,0.665868263,0.845302214,0.647904192,0.836026332,0.657074341,0.839964104,0.095325497,0.000489921,0.00776951,0.008028819
