num_clusters,WCSS,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,24330.5886878163,-3.87748305364491e-15,0.5545602605863192,0.0,-1.292494351211832e-15,1.0,-2.5849887024236675e-15,./PCA/Phishing,KM
2,20459.822810508,0.5110998228799306,0.8949511400651465,0.15278871596944824,0.5112447552866992,0.5125236560027561,0.5118834068375836,./PCA/Phishing,KM
3,18112.3154178008,0.310896710608086,0.8631921824104235,0.1671612316069888,0.46043863899531284,0.31117294039391713,0.3713683127476006,./PCA/Phishing,KM
4,16685.319725588128,0.17481100036124123,0.7980456026058632,0.1479778400767475,0.3442372989168121,0.17518465645439815,0.2322007852226194,./PCA/Phishing,KM
5,15756.553571168688,0.2019244927577865,0.8599348534201955,0.13901876458409113,0.4657212020771666,0.2023359173966157,0.282107993243342,./PCA/Phishing,KM
6,15172.47650335641,0.17287858151328594,0.8501628664495114,0.1387708688455347,0.43605853574842085,0.17336653742621289,0.24809599009125516,./PCA/Phishing,KM
7,14592.894997969392,0.1504077418904,0.8342833876221498,0.1380172242277841,0.4109428694646947,0.15096364741872575,0.2208105177323601,./PCA/Phishing,KM
8,14053.259203946309,0.2027004225102608,0.9169381107491856,0.13121755200992297,0.5960020835657187,0.20326557451294378,0.30314427138993355,./PCA/Phishing,KM
9,13678.691654517846,0.16110156032850073,0.876628664495114,0.12104716889357323,0.5071792183745263,0.1617370757871046,0.24526143075254292,./PCA/Phishing,KM
10,13111.600840876567,0.17354493462269469,0.9014657980456026,0.14440738924940427,0.5584638513068457,0.17423433251369347,0.2656034326660963,./PCA/Phishing,KM
11,12692.21876546613,0.164960296313884,0.8921009771986971,0.13673675725517595,0.5623358272454219,0.16569130789115513,0.25596342277233736,./PCA/Phishing,KM
12,12449.604892607265,0.15223069371575312,0.8900651465798045,0.14643734039438716,0.5413319769983178,0.15301404325478546,0.23858823159503495,./PCA/Phishing,KM
13,12107.048798623877,0.15640670718433128,0.9018729641693811,0.12989789233348817,0.5789530458021678,0.15722369762660154,0.24729153542462426,./PCA/Phishing,KM
14,11833.805609203595,0.14103205658414109,0.874185667752443,0.13080387299833238,0.5360646269215857,0.14191079247142535,0.22441331601800374,./PCA/Phishing,KM
15,11606.28957285907,0.13209720966838198,0.8705211726384365,0.15019917745152903,0.5038702783622151,0.13305166468174942,0.2105148992020882,./PCA/Phishing,KM
16,11370.971315750057,0.1400642806745401,0.8562703583061889,0.1440902449760935,0.5542160904048952,0.141040813527334,0.22485814328070108,./PCA/Phishing,KM
17,11170.19999985894,0.1336476135691484,0.8721498371335505,0.13964152008069575,0.5429118097419404,0.13467063123636697,0.21580924091852674,./PCA/Phishing,KM
18,10936.126357474006,0.1335280540109382,0.8778501628664495,0.14430720075974687,0.5569263937522376,0.13458728905187622,0.21678591588413765,./PCA/Phishing,KM
19,10773.68014031836,0.12991045526088973,0.873371335504886,0.14759225164675369,0.547096473624614,0.13102726050355815,0.21142027203147926,./PCA/Phishing,KM
20,10511.620868778888,0.13227366543228314,0.8770358306188925,0.14231741049657434,0.5697569806758753,0.13342335037442637,0.21621448127665166,./PCA/Phishing,KM
21,10317.316401171778,0.1336400498510934,0.8884364820846905,0.14678889954705293,0.5878504886676488,0.1348233603558768,0.21934093333004118,./PCA/Phishing,KM
22,10212.86328798968,0.13600132519591346,0.8998371335504886,0.1438722943633645,0.6094135468133763,0.13721792805481384,0.2239993009590962,./PCA/Phishing,KM
23,10097.88918688042,0.13079121460601492,0.8835504885993485,0.1362002096415826,0.5955613404515869,0.13205418455055487,0.21617561599702864,./PCA/Phishing,KM
24,9901.987832103528,0.13514198467719285,0.9002442996742671,0.14626866796682694,0.6224708877082914,0.13644119893963277,0.22382216785891823,./PCA/Phishing,KM
25,9744.478633986022,0.13190328811528462,0.9014657980456026,0.1450259363349643,0.6154482680478175,0.13324768318435176,0.21906637988954036,./PCA/Phishing,KM
26,9768.002476263186,0.13189722399398407,0.8888436482084691,0.15045931250938874,0.6163089209876738,0.13329736398545325,0.2191880089994737,./PCA/Phishing,KM
27,9651.394251226655,0.12223424153116935,0.8819218241042345,0.15230547840689326,0.5800035506204861,0.12368610483826405,0.2038920976373969,./PCA/Phishing,KM
28,9548.27026463042,0.12443440186521824,0.8827361563517915,0.14644773137017672,0.5949641435821666,0.12592776192494862,0.2078605750863339,./PCA/Phishing,KM
29,9359.159390775147,0.12908820834807008,0.9010586319218241,0.1534391510544812,0.6264306241716616,0.1306057138879174,0.2161466095033199,./PCA/Phishing,KM
35,8832.290381939434,0.12478225985569978,0.9002442996742671,0.14884209850625496,0.64366468748098,0.12653052831719078,0.2114872471174374,./PCA/Phishing,KM
40,8427.41385420069,0.12350549343741521,0.9030944625407166,0.1529492336029695,0.6614325553340432,0.12544578796764383,0.21089391720498588,./PCA/Phishing,KM
50,7750.9522884805665,0.11920100806029418,0.9083876221498371,0.16317906105908075,0.6744217022165855,0.12153674468511322,0.20595803349146335,./PCA/Phishing,KM
