num_clusters,LL,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,0.7797490321250843,-4.3929539281905504e-16,0.4982044529566675,0.0,-4.3929539281905504e-16,1.0,-8.785907856381105e-16,./ORG/Abalone,GMM
2,8.694308633110104,0.1373315086106858,0.6497486234139335,0.3191029653404098,0.13753593068506775,0.20089079787548866,0.16328321920310288,./ORG/Abalone,GMM
3,9.53775874218223,0.17706736748136997,0.6863777830979172,0.2687889095142766,0.1915674484746568,0.17742867131820816,0.18422718303790084,./ORG/Abalone,GMM
4,15.707322717360096,0.12752009838901848,0.6681829063921475,0.33901840262928257,0.15456662871120214,0.12803472476492672,0.140055208663769,./ORG/Abalone,GMM
5,16.225491793303867,0.12524636160474029,0.6665070624850371,0.33083628038577023,0.1553323682281231,0.1259226751921356,0.13908989587069043,./ORG/Abalone,GMM
6,16.523754736560463,0.11699785102899297,0.6689011252094805,0.2774077403330779,0.16745998187327807,0.11773616569507808,0.13826341162901903,./ORG/Abalone,GMM
7,16.639537002821832,0.11686401522571596,0.6703375628441465,0.27679108500917693,0.1737297824423337,0.11774111355675979,0.1403580139459111,./ORG/Abalone,GMM
8,17.322145670624266,0.12043228167977005,0.6722528130237012,0.2859384414087497,0.22190529552160101,0.12123706124415648,0.15680457613642917,./ORG/Abalone,GMM
9,17.548482273155997,0.11689967784626946,0.6858989705530285,0.2363440150233339,0.22857826173802637,0.11777862572145396,0.15545603111734316,./ORG/Abalone,GMM
10,17.44888350443482,0.11285751022557836,0.6851807517356955,0.2147193474268155,0.22646079859888016,0.11382410795368017,0.1515006859877524,./ORG/Abalone,GMM
11,17.517698493980316,0.11047835313587068,0.6837443141010294,0.20482891272833947,0.23262242792813906,0.11150550842628754,0.15075022604831262,./ORG/Abalone,GMM
12,17.7492869240247,0.1049130022904128,0.6811108451041418,0.20271388165726512,0.23455923337519355,0.10598462647546052,0.14599982948770535,./ORG/Abalone,GMM
13,17.782652485715264,0.10251490679440078,0.6796744074694757,0.18756035020925668,0.233212988110346,0.10366932368458943,0.14353399929515226,./ORG/Abalone,GMM
14,17.802981570763187,0.09664373847750754,0.6801532200143644,0.15647571516721545,0.2328249623117329,0.09782461615615348,0.13776525997856817,./ORG/Abalone,GMM
15,17.852628991749462,0.09653949829298539,0.6808714388316974,0.14397048626914427,0.23695519091877207,0.09778426719487361,0.13843895089384414,./ORG/Abalone,GMM
16,17.933952181672378,0.09956340536893696,0.6736892506583673,0.145649766016943,0.2509848610113737,0.10086894775001133,0.1439039635269029,./ORG/Abalone,GMM
17,17.936362793411853,0.09876328243288995,0.6823078764663634,0.13519357079452787,0.2527118816601174,0.10012967795646732,0.14342958552783283,./ORG/Abalone,GMM
18,17.96902380112709,0.09576195167491533,0.6782379698348097,0.14268900122659692,0.24908907482038853,0.0972049006966894,0.13983886809692433,./ORG/Abalone,GMM
19,17.997496346302363,0.09643960071521811,0.677040938472588,0.1480665264053483,0.2572693323022649,0.09792945576163321,0.14185997555817828,./ORG/Abalone,GMM
20,18.036363037454663,0.09521126628277465,0.6768015322001436,0.13341642512675972,0.2581937334867328,0.09676104901811393,0.1407677694932225,./ORG/Abalone,GMM
21,18.113961970318172,0.09533617280750942,0.6937993775436917,0.12168188203278808,0.2642981240002072,0.09692488683123965,0.14183518209133367,./ORG/Abalone,GMM
22,18.137688151429703,0.09342896855484785,0.6937993775436917,0.12168339077603077,0.26527538979703347,0.09506154519029848,0.1399661594832142,./ORG/Abalone,GMM
23,18.163156042117947,0.09490696965556183,0.6935599712712474,0.12270543813689333,0.2721076623042178,0.09660029315288798,0.14258265686264787,./ORG/Abalone,GMM
24,18.168418478660286,0.09509179617718133,0.6935599712712474,0.11395533248636758,0.274580962839642,0.09685080945071488,0.14319393490111726,./ORG/Abalone,GMM
25,18.194065477115124,0.09455296574724692,0.693320564998803,0.11264834346173623,0.2763873731133316,0.09636991764007428,0.14291030139130756,./ORG/Abalone,GMM
26,18.202865709968787,0.09401981885365533,0.6937993775436917,0.10504707334247299,0.2807330826934683,0.09588139966093057,0.14294235703048827,./ORG/Abalone,GMM
27,18.215132469496773,0.09356761734220015,0.6942781900885803,0.10606004063804438,0.2812599569135582,0.095489291869092,0.14257394913772586,./ORG/Abalone,GMM
28,18.225445478906888,0.09274478814260467,0.6978692841752454,0.094304670979714,0.28510834186945183,0.09469868139975741,0.14217422204944868,./ORG/Abalone,GMM
29,18.247411390448804,0.09273910096975525,0.694757002633469,0.10189612733561869,0.28671401363805377,0.09475651297578593,0.1424383707690001,./ORG/Abalone,GMM
35,18.30152226351278,0.08771862762449847,0.6952358151783576,0.06740984496219973,0.28439419616128075,0.09009776562069288,0.13684289247597847,./ORG/Abalone,GMM
40,18.407430604033053,0.08604410222701192,0.6964328465405794,0.031778278768270274,0.28848994056992855,0.08870859003723897,0.1356926593891611,./ORG/Abalone,GMM
50,18.47617720074408,0.08464083909939495,0.7052908786210199,0.003393137427392639,0.2976839628411804,0.08789403406866096,0.13571648061533303,./ORG/Abalone,GMM
