num_clusters,LL,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,-9.326810018124814,-3.87748305364491e-15,0.5545602605863192,0.0,-1.292494351211832e-15,1.0,-2.5849887024236675e-15,./ORG/Phishing,GMM
2,-8.646886553715026,0.47777347270171455,0.883957654723127,0.1352066201937456,0.4779282858887074,0.4826310472661675,0.4802681545532396,./ORG/Phishing,GMM
3,-8.529782536279606,0.1838955841295005,0.7907166123778502,0.12281812318898394,0.2863652839001183,0.18420691118733745,0.2241971156358786,./ORG/Phishing,GMM
4,-2.7051086090866305,0.2707727796923941,0.8868078175895765,0.10204940846159107,0.5030655556091475,0.2711225580073887,0.3523495591918038,./ORG/Phishing,GMM
5,-1.8569379094979084,0.10032828464135302,0.745928338762215,0.12354847528500057,0.22485676244657338,0.10080698606495604,0.13920574593988236,./ORG/Phishing,GMM
6,-1.5508234865770696,0.16715405582437007,0.8375407166123778,0.12844724870253582,0.40472905798379544,0.16766639228460994,0.23710691960626626,./ORG/Phishing,GMM
7,-1.492009032217847,0.15293266818250928,0.8412052117263844,0.11375237472525615,0.4167952274353737,0.15348850678869996,0.2243559591709343,./ORG/Phishing,GMM
8,-1.4342469750929472,0.1483998105967267,0.8399837133550488,0.09136960108782997,0.43364913167593516,0.1490081380637893,0.22180191697556575,./ORG/Phishing,GMM
9,-1.339986690119433,0.12136930013088562,0.8122964169381107,0.10293273800116938,0.3722178722229235,0.12205399486569976,0.18382870355464778,./ORG/Phishing,GMM
10,-0.7100758053848321,0.16660415830130332,0.8868078175895765,0.10267690863461416,0.5352911144154929,0.1673006792821815,0.25492631100659646,./ORG/Phishing,GMM
11,-0.1946684410084412,0.16643701276876294,0.8868078175895765,0.10461023468638947,0.5500311500176972,0.1671902388392567,0.25643362222380894,./ORG/Phishing,GMM
12,-0.6207313939927056,0.14407125072208243,0.8615635179153095,0.11361942368000548,0.5009188648494659,0.14488126660432488,0.22475610044246067,./ORG/Phishing,GMM
13,-0.06580010684728466,0.1659376901683606,0.8868078175895765,0.10565074950430611,0.5790537758457999,0.16679570796194587,0.2589897468243983,./ORG/Phishing,GMM
14,-0.4791605431909434,0.1444756451555105,0.8615635179153095,0.10464774072270606,0.5316910680073492,0.14538090912332421,0.22832943453733082,./ORG/Phishing,GMM
15,-0.06162046167288612,0.14866052479246877,0.8868078175895765,0.11237062467156136,0.554722843810229,0.14961815936956643,0.23567167175116627,./ORG/Phishing,GMM
16,4.690427876473892,0.12954146744796957,0.8534201954397395,0.11418514278085301,0.5020388299161385,0.13055220208499776,0.2072184759571799,./ORG/Phishing,GMM
17,4.793930834860723,0.11604625410986084,0.8395765472312704,0.11181257105770016,0.45989431961468036,0.11711861859655884,0.18669317045350972,./ORG/Phishing,GMM
18,4.821586099177328,0.09893776225598727,0.8131107491856677,0.1067777461967854,0.4012279725628286,0.10007601748414677,0.16019540396462345,./ORG/Phishing,GMM
19,5.683784229171009,0.08721636110399207,0.7992671009771987,0.09744248827536194,0.3521458701880221,0.08844871947716858,0.14138553680821359,./ORG/Phishing,GMM
20,5.731191918454976,0.09782905050914088,0.8220684039087948,0.10484224258538657,0.409831428892422,0.09906503349481587,0.15956080354735122,./ORG/Phishing,GMM
21,6.3692827462827735,0.12505320356742763,0.8680781758957655,0.10186737361723103,0.5313899295001309,0.12629438700887516,0.20408443298492254,./ORG/Phishing,GMM
22,6.830848873165015,0.12387197302655836,0.8648208469055375,0.07982270617876695,0.523297375720217,0.12518648849551284,0.20203975617668726,./ORG/Phishing,GMM
23,5.474711754774973,0.11998706194510295,0.8680781758957655,0.10454532558530454,0.5334071640409735,0.12130042485049233,0.19765317132193014,./ORG/Phishing,GMM
24,5.831479257462199,0.11388859422174283,0.8623778501628665,0.09282977947458887,0.5078831931026886,0.11526934650656809,0.18789416731680253,./ORG/Phishing,GMM
25,5.982112854188777,0.1141095312887519,0.8591205211726385,0.0998754126267606,0.5184519290902878,0.11552355403286213,0.1889455066894729,./ORG/Phishing,GMM
26,6.14036570099472,0.1117210915288168,0.8615635179153095,0.08549607324047447,0.509526544048421,0.11319466050905665,0.18523757903795743,./ORG/Phishing,GMM
27,6.3778419034150975,0.11633910003404478,0.8656351791530945,0.10294822773396102,0.5432082610001605,0.11782752076952724,0.19365028163475487,./ORG/Phishing,GMM
28,6.904451552040951,0.11667753098129899,0.8697068403908795,0.09990546719492635,0.5492807269774265,0.11821226687019178,0.19455401175021686,./ORG/Phishing,GMM
29,7.543203719592007,0.11388313243938196,0.8664495114006515,0.08141397258030775,0.5330496792687259,0.11549155353934688,0.18984987371069564,./ORG/Phishing,GMM
35,8.829486175061158,0.08425446494045201,0.8106677524429967,0.10846686891720848,0.42796459392118147,0.08613067802381069,0.14340097120582063,./ORG/Phishing,GMM
40,15.10054288675448,0.06393790039125326,0.7772801302931596,0.08886923742636595,0.3407947655096052,0.06606090939293598,0.11066927913103211,./ORG/Phishing,GMM
50,16.25460852680762,0.06750855768621153,0.7903094462540716,0.0914811777337889,0.37273575599106046,0.07010870075194446,0.11801895305869073,./ORG/Phishing,GMM
