num_clusters,WCSS,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,25113.255293159607,-3.87748305364491e-15,0.5545602605863192,0.0,-1.292494351211832e-15,1.0,-2.5849887024236675e-15,./ORG/Phishing,KM
2,21242.26616371689,0.5098071464764112,0.8945439739413681,0.14831618725390544,0.5099524621168212,0.5113039552792121,0.5106273144398573,./ORG/Phishing,KM
3,18894.633596339216,0.30913412405559937,0.8623778501628665,0.16185377302007548,0.4578855042856814,0.3094110277153372,0.36928310906740824,./ORG/Phishing,KM
4,17467.369660133732,0.17331379550940507,0.7972312703583062,0.14273898593409584,0.34108988833102494,0.17368835772326968,0.23017034225638455,./ORG/Phishing,KM
5,16538.548181108985,0.2092539230969111,0.866042345276873,0.13342830251228033,0.4821262933144497,0.20966195768611923,0.2922383904671909,./ORG/Phishing,KM
6,15900.61923250314,0.1995388841185069,0.871742671009772,0.13042629596455094,0.49862665007781115,0.20001535123113742,0.2855052641028252,./ORG/Phishing,KM
7,15346.179894643505,0.18309727259201003,0.873371335504886,0.11969959249440039,0.5113621081343143,0.1836196335062228,0.27021176891049264,./ORG/Phishing,KM
8,14888.129476331536,0.1671724400389343,0.8729641693811075,0.13795056559698715,0.48121003774139576,0.16777603225968474,0.24880506546357797,./ORG/Phishing,KM
9,14492.109877282297,0.13173374358381068,0.8306188925081434,0.1342581777588211,0.4054792307030522,0.13240739007470417,0.1996273734760655,./ORG/Phishing,KM
10,13983.51377049224,0.1532981318278257,0.871742671009772,0.12717470954526064,0.504597997220859,0.15398884520852785,0.23596724951245052,./ORG/Phishing,KM
11,13650.124361420529,0.15475964783538676,0.8802931596091205,0.11383295308938741,0.5309750959292691,0.1554949919704818,0.24054644108573248,./ORG/Phishing,KM
12,13202.40832935926,0.14940758058859943,0.880700325732899,0.13129474086605536,0.5346312543463748,0.1501885521190498,0.23450108554045587,./ORG/Phishing,KM
13,12825.054158923602,0.14199200815544544,0.880700325732899,0.13595164652584119,0.5225863291204862,0.14282842537460627,0.2243418319367166,./ORG/Phishing,KM
14,12587.8476729239,0.15012716087113748,0.8949511400651465,0.13969142604217913,0.5646615533446838,0.1510056782483194,0.23828700569052902,./ORG/Phishing,KM
15,12373.737635302923,0.14575616318403825,0.868485342019544,0.13008740552747428,0.5631710387513115,0.14668264411412993,0.23274491362525598,./ORG/Phishing,KM
16,12133.913807996056,0.13258412755104215,0.880700325732899,0.1387233615491891,0.5267216788746576,0.13356557408780192,0.21309477990902345,./ORG/Phishing,KM
17,11849.481081724383,0.1399242650109104,0.8859934853420195,0.13125253374420653,0.5703954034958003,0.1409359110347773,0.2260246222810548,./ORG/Phishing,KM
18,11729.837336118213,0.1400650882179165,0.9030944625407166,0.1355271255137072,0.5802529887934894,0.14112323304196817,0.22703043233792705,./ORG/Phishing,KM
19,11415.3220361465,0.12793199789192217,0.873371335504886,0.13684875004400307,0.5431930681143176,0.12904200213871356,0.20854229170447267,./ORG/Phishing,KM
20,11457.216187376824,0.13472387687563472,0.8819218241042345,0.1305463263534922,0.5799734076257779,0.13587059225104142,0.22016341660341932,./ORG/Phishing,KM
21,11206.95910939324,0.134655355654847,0.8851791530944625,0.1371143824443619,0.587169334896475,0.13584801466488533,0.2206469553356626,./ORG/Phishing,KM
22,10944.802770835877,0.13105800737235868,0.8819218241042345,0.13995777060792738,0.5802916650451939,0.13229740598227396,0.2154708375976608,./ORG/Phishing,KM
23,10848.40842904268,0.1251285854271938,0.8762214983713354,0.13940407288652595,0.566624631717722,0.12640792362993233,0.20670267975241594,./ORG/Phishing,KM
24,10748.02491973018,0.13915216979232475,0.9030944625407166,0.14009247189886534,0.6355150581568888,0.14045635014897292,0.23006550132642195,./ORG/Phishing,KM
25,10513.418462956493,0.12049076850588564,0.874185667752443,0.14075256953015647,0.5612980118467502,0.12185670115004424,0.20024138832529542,./ORG/Phishing,KM
26,10476.689352549396,0.12756004737542623,0.879071661237785,0.13970252002338773,0.5967709363484405,0.1289657456494203,0.21209623461834667,./ORG/Phishing,KM
27,10359.128763933419,0.12593400829606818,0.8843648208469055,0.14050075639086182,0.5975462891758654,0.12737911020142356,0.2099937860772074,./ORG/Phishing,KM
28,10255.390027051853,0.1292191765714437,0.9014657980456026,0.1381983466100917,0.6239783858329254,0.13068796378729047,0.21611262972788806,./ORG/Phishing,KM
29,10184.684600087894,0.1331136378113618,0.9039087947882736,0.14452874906864632,0.6380517349218019,0.1346429753228804,0.2223625524046699,./ORG/Phishing,KM
35,9620.769801558816,0.11927012595264462,0.8859934853420195,0.13432603044858082,0.6127792209218954,0.12103845943652762,0.2021479036560542,./ORG/Phishing,KM
40,9204.239913217645,0.123253333718386,0.9051302931596091,0.14221682849565015,0.661633372377147,0.1251891288687068,0.21054127299920353,./ORG/Phishing,KM
50,8523.299078091246,0.12254434975258159,0.9092019543973942,0.1501295256237066,0.6939680697865868,0.12486769277956113,0.21165219131458338,./ORG/Phishing,KM
