num_clusters,LL,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,0.7797490319701683,-4.3929539281905504e-16,0.4982044529566675,0.0,-4.3929539281905504e-16,1.0,-8.785907856381105e-16,./ORG/Abalone,GMM
2,7.7583350281806975,0.13473470300697066,0.6598036868565956,0.3550651165493337,0.13493976425550913,0.21727483508606238,0.16648381458336325,./ORG/Abalone,GMM
3,7.894719460895402,0.15742004941762958,0.6598036868565956,0.2802286566827992,0.1578196453415421,0.17105905399620341,0.16417286548811239,./ORG/Abalone,GMM
4,15.011563473819066,0.12675638576963263,0.6598036868565956,0.32789677016285296,0.1577061487882504,0.1272578604157431,0.1408553109935564,./ORG/Abalone,GMM
5,15.095334719103874,0.1244424210658569,0.6598036868565956,0.30716537618211054,0.16430678990443795,0.12507619044927837,0.14203231524588955,./ORG/Abalone,GMM
6,15.171218287000466,0.11740040568490792,0.6598036868565956,0.2936091345103896,0.178146571143315,0.11809513317979768,0.14203431007639317,./ORG/Abalone,GMM
7,15.191153983937363,0.1101492081587051,0.6598036868565956,0.2977773385384494,0.18384099564865816,0.11091442598813955,0.13835618963158294,./ORG/Abalone,GMM
8,15.26000947838409,0.1132297985367934,0.6715345942063682,0.3249790306389916,0.20042544113132896,0.11406983409081262,0.14539167115486779,./ORG/Abalone,GMM
9,15.293416928334096,0.11612768238925479,0.6712951879339238,0.34986303576661754,0.2245265798697997,0.11700362752242104,0.15383953601386502,./ORG/Abalone,GMM
10,15.335352455814636,0.11149302105891284,0.6710557816614795,0.36800708349724454,0.2334677602438148,0.11240844665473518,0.15175226135554906,./ORG/Abalone,GMM
11,15.37102853913582,0.11174611127070778,0.6705769691165908,0.35611611543471566,0.23987165727082058,0.11273987652469823,0.15338750114832872,./ORG/Abalone,GMM
12,11.432950284399421,0.1108229338897641,0.6708163753890352,0.3463845049814856,0.248037791587954,0.1118733787467787,0.15419819160392356,./ORG/Abalone,GMM
13,11.466455577382625,0.108970660232675,0.6837443141010294,0.3303865179812484,0.24866620169182632,0.1100984689783935,0.15262243097569886,./ORG/Abalone,GMM
14,15.448507392411,0.10591145361926327,0.6856595642805842,0.3223642567569834,0.24865779552531628,0.10710493840190152,0.14972044755165456,./ORG/Abalone,GMM
15,15.80784138444571,0.10624253862975556,0.6873354081876946,0.32435196549592166,0.25090981275429525,0.1075207636776136,0.1505341143052503,./ORG/Abalone,GMM
16,15.835297294308496,0.1051502247544818,0.6890112520948048,0.3261982153706535,0.2562612959500143,0.10648293592967542,0.15045011200592326,./ORG/Abalone,GMM
17,15.856348945806293,0.10618159405500746,0.6904476897294709,0.3192069920371944,0.2627870934551767,0.10758246098473866,0.1526652603596813,./ORG/Abalone,GMM
18,15.921693262952026,0.10476424686045606,0.6789561886521427,0.31777246291369415,0.25611205617909577,0.10628104295069267,0.15022281885788394,./ORG/Abalone,GMM
19,15.903385104943482,0.10073722143320321,0.694757002633469,0.29217529037896567,0.26640657507241416,0.10222210914379333,0.14775107396528073,./ORG/Abalone,GMM
20,15.927181676988125,0.10020525897709398,0.6952358151783576,0.2910314497996866,0.2676493713926996,0.10176318914500057,0.14746035470981855,./ORG/Abalone,GMM
21,15.955467724814488,0.10004603352585241,0.6945175963610246,0.2736786130348143,0.27061287405640283,0.1016707205292048,0.14780885480822145,./ORG/Abalone,GMM
22,15.967878894542288,0.09839087621510195,0.6959540339956907,0.2683361443601721,0.2727865444641143,0.10005878897390393,0.1464129430601697,./ORG/Abalone,GMM
23,15.974222576910092,0.09668224743697908,0.6978692841752454,0.2543393691879868,0.2725962421781649,0.09840717388866414,0.14461012833688303,./ORG/Abalone,GMM
24,16.038606152251656,0.09577136700666068,0.6978692841752454,0.2650528602406277,0.2686387119265418,0.09759330475757443,0.14317339002800683,./ORG/Abalone,GMM
25,16.04976728385308,0.09382571273159368,0.6959540339956907,0.255413843206533,0.2669758736971613,0.09570459781536386,0.14089988640433213,./ORG/Abalone,GMM
26,16.05797988400697,0.0924301127083278,0.6894900646396935,0.25729881686069717,0.26912211385128554,0.09434833350646023,0.13971547418056435,./ORG/Abalone,GMM
27,16.112765495035163,0.09261929643738545,0.6897294709121379,0.25700397144523357,0.2694149946450165,0.09461735080741622,0.14004982458041812,./ORG/Abalone,GMM
28,16.171936918981764,0.0922063225883841,0.6894900646396935,0.24113401394610975,0.27113611932751175,0.09426457605936116,0.13989317297673895,./ORG/Abalone,GMM
29,16.17804159914465,0.09306198789221766,0.6902082834570266,0.23542087124068273,0.27659151764679024,0.09517375239661319,0.1416175997959451,./ORG/Abalone,GMM
35,16.289336124572717,0.09017309616220756,0.695475221450802,0.19407940333957563,0.28629660199825496,0.0926169193424439,0.13995757766293299,./ORG/Abalone,GMM
40,16.392354744315316,0.08739087057957505,0.691884127364137,0.17724898253432586,0.2866794568775495,0.09014318531014537,0.1371584215634941,./ORG/Abalone,GMM
50,16.481474546080626,0.08618057157115497,0.6976298779028011,0.1466160827046396,0.3048870273364748,0.08942443078085938,0.13828839264376433,./ORG/Abalone,GMM
