,test,train
0.1,0.0137951890065,0.0029921649475
0.2,0.0148145704443,0.00599569301266
0.3,0.0142317525824,0.0101340664332
0.4,0.0154743642634,0.0173382817884
0.5,0.0144480183226,0.0239178923293
0.6,0.0118440320803,0.0302101260022
0.7,0.0101725544082,0.0379106529217
0.8,0.00781525773345,0.0483518900364
0.9,0.00425273768633,0.058720183275
