,test,train
0.1,0.025672943872,0.012040137457
0.2,0.0439243069873,0.0205815349373
0.3,0.0579474914089,0.0459769988543
0.4,0.0660875143185,0.0837872164948
0.5,0.0668708361973,0.1330074685
0.6,0.0630268041236,0.187921374571
0.7,0.0571249484537,0.261441466208
0.8,0.0416887056131,0.351909095074
0.9,0.0235410767468,0.435271111111
